Shrines,zeldadungeon_links,Coordinators,youtube_link,walkthrough,Location,Enemies,Items,Materials,Prerequisite,Rewards,Type,Skills,Inhabitants,Related,Depths Counterpart,Coordinates_y,Quests
Ga-ahisas Shrine,https://www.zeldadungeon.net/wiki/Ga-ahisas_Shrine,"-3595, 0958, 1699",https://www.youtube.com/watch?v=fOx1apO-dpY,"Ga-ahisas Shrine, also known as Rauru's Blessing, is a Shrine of Light from Tears of the Kingdom. This Shrine is found on Lightcast Island in the North Tabantha Sky Archipelago. Requirements ""To activate the shrine, complete the light puzzle by reflecting light throughout the room."" Rauru's Blessing The shrine itself is just a blessing shrine. Simply move forward, open the chest, and then examine the altar for your well-earned Light of Blessing. Gallery",Lightcast Island,,,,,Light of Blessing,Shrine of Light,,,,,,
Ganos Shrine,https://www.zeldadungeon.net/wiki/Ganos_Shrine,"-3367, 0468, 1695",https://www.youtube.com/watch?v=1I5de2G9rzA,"Ganos Shrine, also known as Rauru's Blessing, is a Shrine of Light from Tears of the Kingdom. This Shrine is found in the sky on the Tabantha Sky Archipelago. Requirements (Missing: how to get up to the shrine) From the shrine, glide down towards the round island with the Flux Construct III. You do not need to defeat the boss, merely steal the crystal it has attached to it. After collecting the stone, take it across the bridge to the smaller island. Build a flying device with the materials there (optional design: 4 fans on each side of the grate, facing downward, with the directional device in the middle) and attach the crystal to it. You may need to affix extra battery charges to the device if you don't have enough charge. Climb on and activate it, aiming towards the island above you with the shrine. You will either need to aim well to get your flying device to drop your flying device by the shrine, or carefully turn the power off and on to land it more safely. Rauru's Blessing The shrine itself is just a blessing shrine. Simply move forward, open the chest for a Diamond, and then examine the altar for your well-earned Light of Blessing. Gallery",,,Diamond,,,Light of Blessing,Shrine of Light,,,,,,
Gikaku Shrine,https://www.zeldadungeon.net/wiki/Gikaku_Shrine,"4504, 2168, 1155",https://www.youtube.com/watch?v=GRJDq1f74r0,"Gikaku Shrine, also known as Rauru's Blessing, is a Shrine of Light from Tears of the Kingdom. This Shrine is found on the Sky Mine island. Shrine Quest: The Sky Mine Crystal Interact with the shrine to start this quest. Climb up the ramp and then go down the other ramp to the right and interact with the panel to activate the launcher. Stand on top of the launcher to get flung to the island above (you can change the direction with the wheel in the center if its not facing the right way). Repeat this twice more on the next two islands. There will be some enemies here; you can either ignore or kill them. Before the third launch, place one of the large blocks in the launcher to knock the floating metal island out of the way, then climb in yourself. Grab the crystal and drop it carefully off the side of the island so it lands on the first island. Follow it down and grab it again and carry it over to the shrine to complete the quest. Rauru's Blessing The shrine itself is just a blessing shrine. Simply move forward, open the chest, and then examine the altar for your well-earned Light of Blessing. Gallery",,,,,,Light of Blessing,Shrine of Light,,,,,,
Gutanbac Shrine,https://www.zeldadungeon.net/wiki/Gutanbac_Shrine,"0709, -1381, 1584",https://www.youtube.com/watch?v=bhYs5RGqAE4,"Gutanbac Shrine, also known as The Ability to Rise, is a Shrine of Light from Tears of the Kingdom. This shrine is found on the Great Sky Island. The region is a level 1 Cold Resistance environment. Link will acquire the Ascend ability. The Ability to Rise Video Walkthrough Gallery Exterior as Link approaches it Link opens shrine Use Ascend in the first room to get up to the higher level Use Ascend on the smaller platform first Open the chest to get a Stone Axe Then Ascend up the larger pillar and fight the Soldier Construct Break the two cates that are in the nook Use Ascend and open the chest at the top to get a Construct Bow Slash the two ropes to knock down the platform This creates a bridge Use ascend to get on top of the bridge Ascend up to the moving platform When it's right underneath the other platform, use Ascend to reach the top of the shrine",Great Sky Island,,,,,Light of Blessing,Shrine of Light,Ascend,,,,,
Igoshon Shrine,https://www.zeldadungeon.net/wiki/Igoshon_Shrine,"3840, 0664, 1325",https://www.youtube.com/watch?v=bK0Lt-0wjU8,"Igoshon Shrine, also known as Orbs of Water, is a Shrine of Light from Tears of the Kingdom. This Shrine is found on Wellspring Island. Orbs of Water Video Walkthrough Gallery Link arriving at Igoshon Shrine Enter the nearby water orb Use Ultrahand to grab a chest inside an orb Use Recall to enter the water orb Stand inside the nearby water orb Stay in the water orb to cross the gap Position the water orb on the ramp and jump inside Fly to the end of the shrine",,,Large Zonai Charge,,,Light of Blessing,Shrine of Light,,,,,,
Ijo-o Shrine,https://www.zeldadungeon.net/wiki/Ijo-o_Shrine,"-3863, 2678, 0702",https://www.youtube.com/watch?v=cooewA6f2RU,"Ijo-o Shrine, also known as More than Defense, is a Shrine of Light from Tears of the Kingdom. This Shrine is found on the West Hebra Sky Archipelago. More Than Defense Video Walkthrough Gallery",,,Arrows,,,Light of Blessing,Shrine of Light,,,,,,
In-isa Shrine,https://www.zeldadungeon.net/wiki/In-isa_Shrine,,https://www.youtube.com/watch?v=iPomp_bj8Ps,"In-isa Shrine, also known as The Ability to Combine, is a Shrine of Light from Tears of the Kingdom. This shrine is found on the Great Sky Island. Link will acquire the Fuse ability. The Ability to Combine Video Walkthrough Gallery Exterior as Link approaches it Link opens shrine Use Fuse to attach the Boulder to a weapon Use the new weapon to break down the cracked wall Break down the pillar and open the chest for five Arrows Grab some Fire Fruits Aim an Arrow and attach a Fire Fruit Shoot the vines to light them on fire Open the chest to get a Small Key Shoot the vines on the floor to burn the Soldier Construct",Great Sky Island,,Rusty Claymore Arrows Old Wooden Bow Fire Fruit Small Key,,,Light of Blessing,Shrine of Light,Fuse,,,,,
Jinodok Shrine,https://www.zeldadungeon.net/wiki/Jinodok_Shrine,"-1257, -1487, 1008",https://www.youtube.com/watch?v=MHEcoS27Ba0,"Jinodok Shrine, also known as Rauru's Blessing, is a Shrine of Light from Tears of the Kingdom. This Shrine is found on the South Hyrule Sky Archipelago. Shrine Quest: The South Hyrule Sky Crystal Interact with the shrine to start this quest. A beam of light will appear, leading towards the crystal you need to find. Follow to the side where you will find a gyroscope that you can use Ultrahand on. Turn it to make a path from where you are to the island 90 degrees to the left of you. Go across and grab the crystal, then bring it back to the shrine to complete the quest. Rauru's Blessing The shrine itself is just a blessing shrine. Simply move forward, open the chest, and then examine the altar for your well-earned Light of Blessing. Gallery",,,Diamond,,,Light of Blessing,Shrine of Light,,,,,,
Jirutagumac Shrine,https://www.zeldadungeon.net/wiki/Jirutagumac_Shrine,"2914, 0536, 0951",https://www.youtube.com/watch?v=dSTB3qxsuUs,"Jirutagumac Shrine, also known as A Flying Device, is a Shrine of Light from Tears of the Kingdom. This Shrine is found west of Wellspring Island. A Flying Device Video Walkthrough Gallery",West of Wellspring Island,,Large Zonaite,,,Light of Blessing,Shrine of Light,,,,,,
Joku-u Shrine,https://www.zeldadungeon.net/wiki/Joku-u_Shrine,"1375, -3339, 0429",https://www.youtube.com/watch?v=i9mzMm5sU_c,"Joku-u Shrine, also known as Rauru's Blessing, is a Shrine of Light from Tears of the Kingdom. This Shrine is found on Dragonhead Island. Requirements Rauru's Blessing The shrine itself is just a blessing shrine. Simply move forward, open the chest for a Diamond, and then examine the altar for your well-earned Light of Blessing. Gallery Link outside the Shrine A diamond in the chest",Faron Grasslands Sky,,Diamond,,,Light of Blessing,Shrine of Light,,,,,,
